luo,swahili
oyango wuoth marabora kaka ne ogamo remo kapod otin kendo ochwe obedo janyuol kapod otin,Alieleza jinsi alivyopachikwa na mimba akiwa mdogo na kuwa mzazi katika umri mdogo
"wuon mar gladys ma peter okoyo owachoni jonyuol ok onego chaa ka nyithindgi manyiri omako ich,",Peter Okoyo ambaye ni babake Gladys alisema kuwa wazazi hawafai kudharauliwa wanao wakipata mimba
ma ne en ka okwayo nyithindo manyiri mondo otim gigo manyalo konyogi e ngimagi maok ni giketo pachgi eweche mag teruok.,Hii inafanyika wakati ambapo aliwasihi wasichana kufanya mambo ambayo yanaweza kuwasaidia ma kijitenga na mapenzi
ka jadak e countini ma kisumu nyadendi grace wairimu owachoni nyithindo matindo onegosik kaimiyo puonj mondo ogeng gi eparo timo hera ka kinde magi podi.,Mkaazi wa kaunti ya Kisumu Grace Wairimu amesema kuwa vijana wanafaa kuelimishwa ili wajiepushe na tendo la ndoa kabla wahitimu umri unaofaa
achiel kuom jombetre mag piny tanzania epiny namibia modestus kipilimba owuoko kendo kwedo weche moko masani koro dhi nyime ni ker mar pinyno john magufuli otho,Balozi wa Tanzania nchini Libya Modestus Kiplimba amekashifu uvumi unaoendelea kuwa rais wa nchi hiyo Maghufuli amefariki
owacho ni ker magufuli ngima mare ni kare kendo nie pinyno ma tanzania kuma odhiye nyime kod theith,Amesema maisha ya Maghufuli yako sawa na yuko nchini Tanzania anakoendelea na kazi
mago owacho ndalo 2 kende bang ka jatend kweth mobalo kod sirikal mar pinyno tundu lissu ker wachoni magufuli ngimane rach,Amesema haya siku mbili tu baada ya kiongozi wa upinzani kusema kuwa hali ya Maghufuli I taabani
sani tuono omako mafwanda magufuli kendo yande osebedo kayudo thieth eboma ma nairobi kapok ne oter epiny india odiechieng manyoro  ,Maghufuli aliambukizwa ugonjwa wa korona na amekuwa akipokea matibabu nchini kabla ya kusafirishwa hadi India kwa matibabu zaidi
inyalo par ni od fwambo moro pachoka ne ogolo riport ejumani ni jatend pinyowacho moro ekinde go,Siku chache zilizopita kuna kituo cha habari kilioa ripoti kuwa kuna rais fulani anayehudumiwa humu nchini
 Jo klas apar gi ariyo chako ayanga penj kiny,Wanafunzi wa kidato cha nne wanaanza rasmi mtihani wa kitaifa hapo kesho
 Riwruok siasa mar one kenya alliance chano romo gi jokenya. ,Muungano wa Umoja Wa Wakenya almaarufu one Kenya Alliance wanapanga mkutano na wakenya
Ng'at achiel otho emasira mar apaya eboma ma kendu bay.,Mtu mmoja amefariki katika ajali ya barbarani mjini Kendubay
askeche mag boma ma kisumu mane one kayuayo miyo maja ohala e apaya gi nyambuko ondhi.,Askari wa kaunti ya Kisumu walioonekana wakimvuta mchuuzi mmoja wa kike katika kaunti ya Kisumu wamekamatwa
Ji pier ariyo gi auchiel otho kaluwore gi tuo mar korona eseche piero ariyo gi ang'wen mokadho.,Watu ishirini na sita wamekufa kutokana na ugonjwa wa korona katika masaa ishirini na nne yaliyopita
Jigana achiel mia ang'wen pier auchiel gi adek oyud gi corona ethuolono epim ma otim ne ji gana aboro mia ochiko piero abiriyo gi auchiel.,Watu 1463 wamepatwa na ugonjwa wa korona kwa watu 8976 waliopimwa
"eseche ogogo, migawo mar thieth ogolo chik mondo jogo majo higni 58 kadhi nyime mondo omi chanjo mar corona.",Wakati huo huo wizara ya afya imesema kuwa wananchi wenye umri wa miaka hamsini na nane kuendelea wapewe chanjo hiyo
eote ne ute fwambo jakom duol ma ochung eneno ni oganda oyudo chanjo owacho kamano,Katika ujumbe kwa vituo vya habari mwenyekiti wa tume inayohakikisha kuwa wananchi wanapata chanjo amesema hivyo
laktar willis akwale olero ni jogo majo higni 58 ngimagi ngau ne gamo corona ka gin atamalo 60 mag jogo ma oseyud gi corona epachoka.,Daktari Willis Akwale amesema kuwa watu wenye umri wa miaka 58 wako katika nafasi ya juu kupata virusi hivyo akisema kuwa ni asilimia sitini ya walioambukizwa
"migawo mar thieth bende ogolo kuayo ne josiasa, jodolo kod jogo maotelo ne oganda mondo odhi echanjo mar corona","Wizara ya afya pia imewasihi wanasiasa, wanaohubiri pamoja na viongozi kuwa waende wapokee chanjo dhidi ya korona"
ma en kaka yor jiwo jopiny kod jogo manie opara mambele ekedo gi corona mondo ochop oyud chanjo makamano.,Hii ikiwa ni njia ya kuwapa motisha wananchi pamoja na wale walio katika hatari ya juu kupokea chanjo hiyo
Penj maduong' mar kcse chakore kiny.,Mtihani wa kitaifa wa KCSE utaanza rasmi hapo kesho
Moko kuom jo puonj madongo olero ni ikruok makare oseket ne penj makamano.,Baadhi ya walimu wakuu wamesema kuwa mikakati ipasavyo tayari imeshawekwa
Jopuonjre kiny chako gi dho ngere karatas mokuongo mar klas apar gi ariyo.,Wanafunzi hao wa kidato cha nne kesho wataanza na karatasi ya kiingerez ya kwanza
Chike mag kedo gi tuo mar corona kiny ne luu ekinde timo penj.,Sheria za kupunguza usambazaji wa korona zitafuatwa wakati wa mtihani huo
duond buch odm olero ni gichano loso riwruok makende mar siasa maduong gi josiasa mamoko bang ombulu mar paro kata referendum.,Chama cha ODM kimesema kuwa wanapanga kutengeneza muungano wa kisiasa baada ya kura za maoni
jagoro mar duond burano edwin sifuna olero ni riwruok siasa magichano loso biro kelo kanyakla rowere kod jogo man kod paro maber mar tayo kenya.,Katibu mkuu wa chama hicho Edwin Sifuna amesema kuwa muungano huo utajumulisha vijana pamoja nawale walio na malengo mazuri kwa taifa la Kenya
"one kenya alliance yande olos gi jodito mag anc, kanu, wiper kod ford kenya.","One Kenya Alliance iliundwa na viongozi wa ANC,Wiper, KANU pamoja na FORD KENYA"
"riwruogno ma okelo kanykla duond bura mar kanu, wiper , ford kenya kod anc kata kamano owacho ni romogo gibiro timo bang ka landruok mar tuo mar corona osebiro odok piny pachoka.",Muungano huo wa One Kenya Alliance umesema kuwa utaanza kuandaa mkutano baada ya ugonjwa wa korona kupungua humu nchini
giwacho ni giriwo lwedo wach lokruok mar chike kokalo e bbi ler mochiw kod senetor ma bungoma moses wetangula.,"Wamesema kuwa wanaunga mkono mageuzi ya sheria yaliyo katika BBI, haya yalisemwa na Moses Wetangula"
jakom duond bura mar kanu gedion moi owacho ni dwachgi maduong en manyo yore mag tieko siasa`mag dhoudi ,Kiongozi wa KANU Gideon Moi amesema kuwa wazolao kuu ni kuhakikisha kuwa siasa za kiukabila zinakomeshwa
Weche Machupa gin mane osir lwedo kod jatend duond bura mar anc Wanyonyi.,Mawazo ya Moi yaliungwa mkono na kiongozi wa ANC Musalia Mudavadi
ogai mar anc migosi musalia mudavadi okwedo kit kaka ne ogol oko senator ma kakamega cleophas malala elemo mar jalup ogai mar senators manok kagilero ni odm ochayo duond buche mane oloso nasa.,Kiongozi wa ANC Musalia Mudavadi amekashifu kutimuliwa kwa seneta Cleophas Malala kama kiongozi wa wachache bungeni akisema kuwa chama cha ODM kinadharau vyama tanzu vya NASA
jogo mane odar epinjegi kata refugees ma odak ekembe ma daadab kod kakuma okuayo piny owacho olok paro mantiere mar loro kembe 2go.,Wakimbizi wanaoishi katika kambi za Daadab na Kakuma wameiomba serikali kubadili wazo la kufunga kambi hizo
olero ni paro mar no duokogi edhier makende kod lwasi mar monj ahinya epiny somalia.,Wamesema kuwa kufungwa kwa kambi hizo kutawarudisha katika taabu pamoja na uvamizi kutoka Somalia
jotelo egwenge mag nyandwat mar kenya olero ni piny owacho onego obed piny ongi yo makare mar konyo jogo maok riembogi.,Viongozi kutoka maeneo ya Kaskazini Mashariki wameiomba serikali kuangalia njia ya kuwasaidia wakimbizi hao bali siyo kuwafukuza
Jo telo mopogore bende osiro paro makamano.,Viongozi mbalimbali pia wameunga mkono wazo hilo
senator ma bungoma moses wetangula olero ni refugees gin jok ma oringo achiedh nade epinjegi kendo duokogi chalo ondamo mar duokogi e midhiero mane gisewuoke.,Seneta wa Bungoma Moses Wetangula amesema kuwa wakimbizi ni waliokimbia taabu za kwao na kuwarejesha kwao ni kuwafanyia vibaya zaidi
Komo nyuol - atamalo piero auchiel mag jokenya komo nyuol.,Asilimia sitini ya wakenya wanapanga uzazi
mae en kaluwore gi nonro ma otim gi migawo mar performance monitoring for action e counties 11.,Hii ni kutokana na utafiti uliofanywa katika kaunti kumi na moja na shirika la Perfomance Monitoring For Action
nonrono bende oyudo ni kwan iye ma ok ochan epachoka odok chien nyaka atamalo 38 kaipimo gi atamalo 42 ehiga 2014.,Utafiti huo pia umegundua mimba za kutopangwazimepungua kutoka asilimia 42 hadi 38 
apisa ma ochung etayo nonro emigawono ngire peter gichangi oleroni ni thoth mine komo nyuol ka okadho egigo ma isoyo ei dendgi kata implants.,Profesa Peter Gitangi ambaye ni mkuu wa idara hiyo amesema kuwa wanawake wengi wanapanga uzazi kwa njia ya kuweka vifaa katika miili yao almaarufu implants
masira kendu-  ngat achiel oyang ni otho to ji 4 oring godo eod thieth bang trailer bayo yoo ka oridore e apaya ma gendia kochomo boma ma kendu bay midhiambo makawuono.,Mtu mmoja amefariki huku wanne wakikimbizwa hospitalini katika eneo la Gendia baada ya gari aina ya trela kuwagonga
Trela no bende ne otuomo probox kod apiko maromo ang'wen mane ochung e bath apaya.,Trela hiyo pia iligonga pikipiki nne na gari la probox kando ya barabara
kisumu kanjo- askeche 5 mag boma ma kisumu mane one kayuayo miyo maja ohala gi nyamburko e ndara ondhi.,Askari wa kaunti ya Kisumu walioonekana wakimvuta mchuuzi mmoja wa kike katika kaunti ya Kisumu wamekamatwa
ndhicho margi obiro bang liet mane oket kisumu kawuono gi jokedo ne oganda mane okwedo timno,Kushikwa kwao kunatokana na uzito uliowekwa mjini Kisumu leo na watetezi wa haki za binadamu
"Ne gikwedo kotelnegi kod Okatch, negilero ni chungo askechego etich ok oromo.",Wakiongozwa na Bonny Akatch walisema kuwa kusimamishwa kazini tu haitoshi
Kendo giwacho ni jatendgi ogwe tao ewi wach mane otimore no.,Wamesema kuwa kiongozi wao anafaa kujiuzulu
mae timore sama jotelo mopogore e kisumu omedo kwedo kit kaka askeche mag kisumu county osebedo kasando jo ohand aswekra.,Hii inafanyika wakati ambapo viongozi mbalimbali Kisumu wanakashifu askari wa kaunti kwa jinsi wanavyodhulumu wachuuzi
mae timore sama jataa tije e boma ma kisumu migosi abala wanga okuayo jokedo ne oganda kod josiasa ochiw thuolo ota nonro ewachno kaluwore gi chik.,Mheshimiwa Abala Wanga amewasihi watetezi wa haki na viongozi kuwapa muda ili uchunguzi zaidi ufanywe kuhusiana na tukio hilo
arv-  migawo mar thieth ojiw obed ka kaso keyo yedhe mag kute mag ayaki kata arvs ne jopiny man kod kute makamago.,Wizara ya afya imeshauriwa kusambaza dawa za kupambana na virusi vya Ukimwi kwa waathiriwa
migosi austine obiero en jal man kod kute mag ayaki egwenge mag nyahera ema omiyo owuok oko yango chane ne jopiny ka opuonjogi.,"Bwana Austine Obiero ni mwathiriwa wa virusi hivyo kutoka maeneo ya Nyahera, amejitokeza kuwaelimisha wananchi kutokana na virusi vya Ukimwi"
ndalo achiel bang piny ngima dhialo odiochieng tuo kahera kata tb kama okuayoe jogo man kod kute mag ayaki obed kangeyo chal margi ne tuo mar tb bende.,Siku mja baada ya dunia kuadhimisha sikun ya ugonjwa wa kifua kikuu duniani amejitokeza na kuwaambia waathiriwa wa ugonjwa wa UKIMWI kujua pia hali yao kifua kikuu
chienro mag arita oserid egwenggi ma chato e province ma geita kama idhi bage nyasino.,Hali ya usalama imekuwa tisti katika kijiji cha Chato mkoa wa Geita ambako sherehe hiyo itaandaliwa
kawuono jogwenggi ma chato ne oyudo thuolo mar neno ringre mosenindo magufuli e alap ma magufuli stadium.,Leo hii wakaazi wa Chato walipata nafasi ya kuona mwili wa mwendazake Maghufuli katika uga wa Maghufuli
Jotelo mag pinje mopogore igeno mar yuoro e liendno,Wananchi wa mataifa mbalimbali wanatarajiwa kuhudhuria sherehe hiyo
Kafiu omed gi ndalo piero auchiel sama romo mag siasa ochungi gi ndalo piero adek.,Amri ya kutotoka nje imeongezwa kwa siku sitini huku mikutano ya siasa ikisitishwa kwa siku thelathini
 Jalup ker Absalom ochungo romo mag siasa mane osechano.,Naibu wa rais William Ruto amesitisha mikutano yote ya kisiasa aliyokuwa amepanga
Chanjo mar korona osidh siaya kaunti. ,Chanjo ya korona imeidhinishwa rasmi katika kaunti ya Siaya
America n igi geno mar tieko korona.,Marekani ina nia ya kumaliza virusi vya korona
jatend piny owacho moluor uhuru kenyatta omedo kuom ndalo 60 obadho mar wuotho oko chakore saa angwen otieno nyaka saa apar kogwen kata curfew.,Rais Uhuru Kenyatta ameongeza mkataa wa kutotoka nje almaarufu curfew kwa siku sitini
jatend piny owacho maoloso gi jokenya kawuono bende okumo romo mag siasa kuom ndalo 30 kaka yor kedo gi tuo mar corona.,Rais Kenyatta vilevile amesitisha mikutano yote ya siasa
Olero ni chike makamago chako tiyo ka wuono.,Amesema kuwa sheria hizi zitaanza rasmi leo
"jatend piny owacho bende ogolo chik magayo kwan jogo machopo e romo mopogore moriwo harus, liete ekind mamoko.",Rais pia ametoa sheri kudhibiti wanaofika kwenye harusi mazishi na kadhalika
Olero ni mana ji mia achiel ema oyienegi chopo e romo makamago.,Amesema kuwa ni watu mia moja tu wanaoruhusiwa kufika katika mikutano hiyo
Jogo ma otho ibiro ik seche piero abiriyo gi ariyo bang tho margi.,Watakaoaga dunia watazikwa baada ya saa sabini na mbili
jatend piny owacho ogolo chik ne apisas mag arita moriwo nyaka obila mondo otim duto eneno ni jopiny luwo chike,Rais ametoa amri kwa maafisa wa polisi kuhakikisha kuwa sheria zote zinafuatwa
Chike makamago ma oket mag gayo tuo mar korona.,Sheria hizo zimewekwa kudhibiti ugonjwa wa korona
Piny owacho oloso kamiti madhi konyo ekedo gi midhusi mar korona.,Serikali pia itaunda tume ya kudhibiti ugonjwa wa korona
jatend piny owacho moluor uhuru kenyatta olero ni kamiti makamano biro tiyo e counties ka ibiro taye gi govenors kod kamishenas mag counties.,Rais Kenyatta alisema kuwa kamati hiyo itaongozwa na magavana pamoja na makamishna wa kaunti
kamiti makamago biro romo juma kajuma enono kabende jopiny luwo chike kedo gi tuo mar corona.,Kamiti hiyo itakutana kila wiki kuangalia iwapo wananchi wanafuata sheria za korona
"oloso sama ji 750 oyud gi corona kawuono epim ma otim neji 6,264 ka ji 2 owito ngimagi ethuolo onogo.",Alizungumza wakati ambapo watu 750 walipatwa na ugonjwa wa korona huku 6264 wakipimwa na wawili wakiaga dunia wakati huo huo
Okuayo jokenya oruak chanjo mar korona mayande okel epachoka.,Amewaomba Wakenya kupokea chanjo dhidi ya korona
"eseche ogogo,jatend piny owacho moluor uhuru kenyatta osingo ne jo class 8 kod 12 lwasi makare mar penj kata obedo ni kenya sani kedo gi tuo mar corona.",Wakati huo huo aliwahakikishia watahiniwa wa kidato cha nne na nane hali shwari watakapofanya mtihani hata ingawa nchi inakabiliana na ugonjwa wa korona
jalup ker migosi william ruto ochungo romo mag siasa mane ochano bago epachoka nyaka chieng mapok ongere.,Naibu wa rais William Ruto amesitisha mikutano yote ya kisiasa aliyokuwa amepanga
"embui mare mar twitter, migosi ruto otudo ondamo makamano gimedruok ekwan jogo ma iyudo gi tuo mar corona.",Kupitia mtandao wake wa Twitter Ruto amesema hiyo ni kutokana na idadi ya wanaopata ugonjwa wa korona kila siku
bende olero ni ondamono oluwore gi chik maogol gi jatend piny owacho mar chungo romo mag siasa kuom ndalo 30.,Pia amesema amechukua hatua hiyo kutokana na sheria za rais za kusitisha mikutano yote ya siasa
kawuono migosi ruto ne ogoyo tach e county ma busia od bura ma funyula  kamane olere duaro mondo ochak chienro mag tingo malo jopiny.,Leo hii Ruto alikuwa katika eneo bunge la Funyula kaunti ya Busia alikoendesha kampeini yake kuwainua wale wenye mapato ya chini
kumachielo okwedo josiasa masani chokore ekidienje mar kuno muya mar rakruok kode e debe eyiero mabiro,Kwa upande mwingine aliwakashifu wanasiasa wanaopanga kumpinga katika uchaguzi mkuu ujao
Ne olero ni riwruoge mag siasa ok onego olos kotenore e dhoudi majotelo wuoke.,Alisema kuwa miungano ya kisiasa haifai kuundwa kutokana na makabila ambayo wanasiasa wanatoka
jopiny e county ma machakos ojiw obi oyier mikai agness kavindu mar duond buch wiper kaka senator e county ma machakos eyiero maadundo maichano bag e countyno tich 4 juma makiny.,Wakaazi wa Machakos wamwshauriwa kumpigia kura Agnes Kavindu wa Wi[er katika uchaguzi mdogo wa seneti kaunti hiyo
ogai mar duond buch wiper migosi kalonzo musyoka olero ni mikai kavindu nikod nyalo maber mar korka kore,Kiongozi wa chama cha Wiper amesema kuwa BI Kavindu anaweza kuwaongoza vyema
ogai mar ford kenya migosi moses owacho ni mikai kavindu dhi yudo komno mana kaka nyocha giyudo kombe ma matungu kod kabuchai.,Kiongozi wa FORD KENYA Moses Wetangula amesema kuwa Kavindu atatwaa kiti hicho jinsi walivyotwaa kiti cja Kabuchai na Matungu
Migosi Gedi onyis mondo oyue kuom ndalo apar gi ang'wen.,Mheshimiwa Mike Sonko ameambiwa apumzike kwa kipindi cha siku kumi na nne
okinde mage kotelnegi kod john khaminwa onyiso jangad bura e buche maluoro migosi sonko ni lakteche sonko ogolo chik mondo owe sonko oyue kuom ndalo 14.,Mawakili wake wakiongozwa na Khaminwa wamemwambia kiongozi wa mashtaka kuwa madaktari wamemwagiza Sonko kupumzika kwa siku kumi na nne
mano nyiso ni ok obi chopo embele doho tich 2 juma makiny e bura mar mibadhi mar sh. million 14 maluore.,Hii inamaanisha kuwa hatafika kortini Jumanne wiki ijayo kuhusu kesi inayomkabili ya milioni kumi na nne
wakla olero ni apisasgo gin mag utethieth piny owacho kod mag ji giwegi. e county ma siaya.,Wakila ameeleza kuwa maafisa hao ni wa afya wa hospitali za umma na za kibinafsi katika kaunti ya Siaya
olero ni chanjono geto gengo ngima jopiny sani ma kenya onyono tielo mar 3 mar landruok corona.,Amesema kuwa chanjo hiyo itasaidia kukinga maisha ya Wakenya wakati huu ambapo ugonjwa huo umeingia katika awamu ya tatu humu nchini
"koloso ekinde sidho chanjo ne jogo makedo gi corona, migosi wakla olero ni bang chanjo apisas mag thieth, gidhi chanjo obila, jopuonj, jokanisa kod jogo makonyo echienro mochuno sani ma ikedo gi corona.","Akizungumza wakati wa kuidhinisha rasmi chanjo hiyo Wakila alisema kuwa baada ya kuwapa chanjo wahudumu wa afya watawapa chanjo maafisa wa usalama,walimu,viongozi wa makanisa pamoja na wale wanaopeana huduma za dharura"
jalup governor ma siaya mane okuongo yudo chanjo mar corona e countyno laktar james okumbe olero ni siaya oseyudo chanjo gana 3 ka gigeto yudo mamoko.,James Okumbe ambaye ni naibu wa gavana wa Siaya na wa kwanza kupokea chanjo hiyo katika kaunti hiyo alisema kaunti ya Siaya imepokea chanjo laki tatu huku wakingoja zaidi
Okuayo jo piny omed luo chike kedo gi korona.,Anmewasihi wananchi kuendelea kuzingztia sheria za korona
ford kenya  kisumu- jokanyo mag duond buch ford kenya e nyanza olero ni gidhi siro migosi mukisa kituyi edwache mar laro kom ker gi otkiko mar ford kenya.,Wanachama wa FORD KENYA kutoka maeneo ya Nyanza wamesema watamuunga mkono Mukhisa Kituyi katika azma yake ya kuwania urais
olero ni jotelo ma gisebedo kagisiro eduond burano gwethore oko kata ka yiero pok ochopo.,Wamesema kuwa viongozi ambao wamekuwa wakiunga mkono hujiondoa hata kabla ya uchaguzi kufika
jakom ford kenya e kisumu migosi felix minda olero ni ford kenya duaro lokruok eweche telo ka olero ni migosi moses wetangula ok en jatendgi.,Mwenyekiti wa FORD KENYA mjini Kisumu Phelix Minda amesema kuwa Moses Wetangula siyo kiongozi wao
Bende olero ni gin giyango migosi Siki kaka jagoro margi.,Pia amesema kuwa wamemuidhinisha mheshimiwa Eseli Simiyu kama katibu wao
riwruok mar mine -riwruok mar maendeleo ya wanawake ochako chienro mar tingo malo wakeyni kaokadho e pogo gi tangi mag pii e pachoka mangima.,Uongozi wa wanawake kupitia Maendeleo Ya Wanawake imeanza kuwagawa wanawake matangi ya kuhifadhi maji humu nchini
olero ni pii thoro kethore ekinde koth kabang koth to mine wuotho alanda kamanyo pii.,Amesema kuwa maji huwa mengi wakati wa mvua na kiangazi kikija wanawake huhangaika wakitafuta maji
Mikai owino olero ni tangi makamago biro konyo mine kano pii eyo makare.,Bi. Owino amesema kuwa matangi hayo yatawasaidia wanawake kuhifadhi maji safi
Okuayo mine odonj e riwruoge manyalo konyogi yudo ber ma kamago.,Amewasihi wanawake kujiunga na mashirika ambayo yanaweza kuwasaidia kama hayo
jatend piny america moluor joe biden nigi geno ni corona virus dhi rumo epinyno kochopo tarik 4 dwe mar 7 higani odiochieng ma america dhiale loch margi kata independence.,"Rais Biden ana matumaini kuwa kufikia tarehe ya kusherehekea siku ya kupata uhuru nchini humo ambayo ni tarehe nne mwezi wa saba, Marekani itakuwa imemaliza vita dhidi ya korona"
Okuayo jopiny America omed luwo chike mag kedo gituo mar korona.,Amewasomba raisa wa Marekani kuendelea kutii sheria za korona
Odongo oloso sama america hingo higa achiel nyaka ne korona gore epinyno.,Biden alizungumza mwaka mmoja baada ya virusi vya korona kuvamia nchi hiyo
E kauntis piero ang'wen nyaka nechak chiwo chanjo makamano.,Katika kaunti arubaini tangu chanjo hiyo ianze kupeanwa
eseche ogogo ji 7 owito ngimagi kaluwore gi midhusi mar corona epachoka ei seche 24 mokadho.,Wakati huo huo watu saba wamepoteza maisha yao katika masaa ishirini na manne yaliyopita
Mae chopo kwan jogo ma korona osenego nyaka gana achiel mia ochiko gi aboro.,Hii inafikisha idadi ya wale walioangamia kwa virusi vya korona hadi elfu moja mia tisa na nane
mae chopo kwan jogo ma oseyud gi corona epachoka nyaka gana mia achiel gi apar gi ariy mia aboro gi abich.,Hii imefikisha idadi ya wale walioambukizwa humu nchini hadi 112805
buche ma ochuno ma osebed ka iyalo edohono ma mavoko koro ochual nyaka e doho mamalo ma machakos ekindeno mapod idhi lor dohono.,Kesi za lazima ambazo zimekuwa zikiendelea katika mahakama ya Mavoko zimepelekwa hadi mahakama ya juu ya Machakos baada ya mahakama hiyo kufungwa
ogai mar joyal buche eyor kojolo philomena mwilu olero ni pod ginono chal e doho ma kithimani kama jotije doho 16 nyocha oyude gi corona virus.,Jaji mkuu mshikilizi Philomena Mwilu amesema kuwa bado wanafanya uchunguzi katika korti ya Kathimani kuhusiana na watu kumi na sita kuathirika na virusi vya korona
jatich okuach kich ondhiyo miyo moro manyocha tipone okere embui ka chuoyo gi pala nyithindo 2 mag miyo mane otimone tich ot eboma ma nairobi.,Maafisa wa polisi wamemshika mwanamke mmoja aliyenaswa katika kanda ya video akiwadunga kwa kisu watoto wawili wa mwajiri wake
gladys naliaka maen jatich ondhi gi okwach kich ekar idho nyamburko ma eldoret ka otemo hepo kaodhi epiny uganda.,Gladys Naliaka ambaye ni mjakazi alishikwa katika kituo cha kuabiri gari cha Eldoret akipanga kuhamia Uganda
Okwach kich olero ni miyono oyud gi opande ariyo m aopogore.,Maafisa wapolisi wamesema kuwa Naliaka alishikwa na vitambulisho viwili tofauti
Wich teko jok moko biro konyo duoko tuo mar korona e pachoka.,Kutotii sheria itafanya ugonjwa wa korona urejee humu nchini
Rawere mosomo ok onego obed ni rito mondo ondikgi etije.,Vijana ambao tayari wamehitimu hawafai kusubiri kuajiriwa 
olero ni piny owacho nikod chienro mathoth manyalo konyo rowere donjo eweche pur mabiro konyogi yudo chiemo kod omenda.,Amesema kuwa serikali ina mipango ya kilimo ambayo itasaidia kuwapa pesa na chakula
ne oloso tharaka nithi kamane olere ni piny owacho ochako chienro mar chualo pii epuoth ne jopiny.,Alizungumza akiwa Tharaka Nithi ambapo serikali tayari imeanza mipango ya unyunyizaji maji mashambani
handshake- josiasa makwedo wach mosruok mane obedo epachoka oyang ni ok dwar kue ne jokenya.,Wanasiasa ambao wanapinga makubaliano baina ya Uhuru na Raila almaarufu handshake wamekashifiwa kuwa hawapendi amani nchini
senator e county ma hb migosi moses kajwang olero ni mosruok mane obedo ekind ker uhuru kenyatta kod ogai mar odm moluor raila odinga osekonyo ekelo kue epiny kenya.,Seneta wa Homabay Moses Kajwang amesema kuwa makubaliano ya handshake imeleta amani humu nchini
onyiso jotije mag piny owacho owek donjore e siasa kaolero ni mano mono piny owacho chopo chienro mage.,Amewaambia wafanyikazi wa serikali kutoingilia siasa akisema kuwa inazuia serikali kutimiza ahadi zake kwa wananchi
migosi kajwang olero ni biro kanyakla mar jatend piny owacho kod ogai mar odm osekonyo ahinya neno ni kue obedo epachoka.,Mheshimiwa Kajwang` amesema kuwa kuja pamoja kwa Uhuru na Raila imesaidia sana kuleta amani humu nchini
obila epiny russia ondhiyo ji 200 manerik nie romo mar siasa mane obag gi duond bura makwedo epinyno.,Maafisa wa polisi nchini Urusi wamewakamata raia mia mbili ambao walikua katika mkutano wa kupinga serikali  kuu huko Urusi
Jogo ondhi kinde mane romono chakore kawuono emagawa moro eboma ma moscow.,Watu hao walishikwa mkutano ulipokuwa ukianza katika hoteli moja mjini Moscow
Obila epinyno olero ni jogo ne ketho chike mag kedo gi tuo mar korona.,Maafisa wa polisi wamesema kuwa raia hao walivunja sheria za kupambana na korona
ndhichono obiro sani ma tend piny russia osebedo kandhiyo jogo makwedo piny owacho motelo ne yiero mar pinyno.,Kushikwa kwa jamaa hao inakuja wakati ambapo serikali ya Urusi imekuwa ikiwakamata raia wanaopinga serikali uchaguzi mkuu unapokaribia
"dwe mokadho, jasiasa alexei navalny ma osebedo kakwedo jatend pinyno vladmir putin ne odir eod angech.",Mwezi jana kiongozi wa upinzani Alexei Navalny alitiwa mbaroni
higni 58migawo mar thieth ogolo chik mondo jogo majo higni 58 kadhi nyime mondo omi chanjo mar corona.,Wizara ya afya imetoa amri kuwawatu wenye umri wa miaka hamsini na nane kuendelea wapokee chanjo ya korona
eote ne ute fwambo jakom duol ma ochung eneno ni oganda oyudo chanjo laktar willis akhwale noloso,Katika ujumbe kwa vyombo vya habari msimsmizi mkuu wa kutoa chanjo hizo Willis Akhwale alisema hivyo
olero ni jogo majo higni 58 ngimagi ngau ne gamo corona ka gin atamalo 60 mag jogo ma oseyud gi corona epachoka.,Willis alisema kuwa watu hao walio na umri wa miaka 58 ni asilimia sitini ya wale walioambukizwa virusi vya korona
"migawo mar thieth bende ogolo kuayo ne josiasa, jodolo kod jogo maotelo ne oganda mondo odhi echanjo mar corona","Wizara ya afya imetoa ombi kwa wanasiasa,wahubiri pamoja na viongozi wa wananchi kupokea chanjo hiyo"
mae en kaka yor jiwo jopiny kod jogo manie opara mambele ekedo gi corona mondo ochop oyud chanjo makamano.,Hii ni njia mojawapo ya kuwapa motisha wananchi pamoja na walio katika kipaumbele kupokea chanjo hiyo
"riwruogno ma okelo kanykla duond bura mar kanu, wiper , ford kenya kod anc kata kamano owacho ni romogo gibiro timo bang ka landruok mar tuo mar corona osebiro odok piny pachoka.","Muungano huo wa Wiper, KANU na ANC wamesema kuwa wataandaa mkutano wao baada ya virusi vya korona kupungua humu nchini"
giwacho ni giriwo lwedo wach lokruok mar chike kokalo ebbi ler mochiw kod senetor ma bungoma moses wetangula.,Wamesema kuwa wanaunga mkono mageuzi ya sheria kupitia kwa BBI maneno yaliyosemwa na Moses Wetangula
jakom duond bura mar kanu gedion moi owacho ni dwachgi maduong en manyo yore mag tieko siasa`mag dhoudi weche mane osir lwedo kod jatend duon buramar anc musalia mudavadi.,Mwenyekiti wa KANU Gideon Moi amesema kuwa nia yao ni kuona kuwa siasa za kikabila zinamalizwa jambo lililoungwa mkono na Musalia Mudavadi
